,assunto,n requerimento,partido,vereador
669,"- requer que seja enviado ofício à sttu, solicitando uma faixa de pedestre na av. das fronteiras, em frente a maternidade da mulher, no conjunto santa catarina, zona norte de natal/rn. ",01071/2019,pt,ver. fernando lucena 
670,"- requer que seja enviado ofício à urbana, solicitando a limpeza geral (capinação), da lateral do posto de saúde do conjunto vista verde, que se encontra com bastante mato, bairro pajuçara, zona norte de natal/rn ",01179/2019,pt,ver. fernando lucena 
671,"solicitando operação tapa buraco na rua interventor mário câmara com a av. lima e silva, no bairro nossa senhora de nazaré. ",01135/2019,requer,ver. franklin capistrano- psb assunto:      
672,"solicitando o nivelamento da rua elias de souza, conjunto boa vista, bairro planalto, ao lado do cmei clara camarão, natal/rn. ",01122/2019,requer,ver. fúlvio saulo  sd assunto:      
673,"solicitando a substituição das lâmpadas dos postes a7957 e a7958 que estão queimadas, por lâmpadas mais potentes na av. nascimento de castro, bairro lagoa nova, natal/rn. ",01124/2019,requer,ver. fúlvio saulo  sd assunto:      
674,"solicitando informações se há algum projeto de urbanização do antigo horto da cidade da esperança, localizado na av. piauí com rua garanhuns , bairro cidade da esperança, natal/rn. ",01221/2019,requer,ver. fúlvio saulo  sd assunto:      
675,"- requer que seja enviado ofício à semov, solicitando a limpeza e manutenção da boca de lobo, entre as ruas ulisses guimarães e r. josé acácio de macedo (ao lado de acácio bebidas). bairro: redinha. cep.: 59122-145. ",01217/2019,sd,ver. klaus araújo 
676,"- requer que seja enviado ofício à semov, solicitando a limpeza e manutenção da boca de lobo, entre as ruas da gameleira e rua são francisco. bairro: redinha. cep: 59122-600 ",01218/2019,sd,ver. klaus araújo 
677,"- requer que seja enviado ofício à semov, solicitando a pavimentação na travessa sem nome que está localizada próximo ao anel viário da redinha, entre as ruas conselheiro tristão e padre cícero romão. ",01219/2019,sd,ver. klaus araújo 
678,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na avenida bumba meu boi, no bairro de nova natal. ",01126/2019,requer,ver. kleber fernandes- pdt assunto:      
679,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na rua poeta revoredo neto, entre a avenida piloto carlos del prestes e a avenida caboclinhos, no bairro nordelandia. ",01127/2019,requer,ver. kleber fernandes- pdt assunto:      
680,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na rua tijuana, entre a avenida piloto carlos del prestes e a avenida caboclinhos, no bairro nordelandia. ",01128/2019,requer,ver. kleber fernandes- pdt assunto:      
681,"por 1 ano de falecimento da sra. maria lenice tavares custódio, mais conhecida como ""nice conselheira"", ocorrido no dia 29 de abril de 2018. ",01039/2019,requer,ver. luiz almir   sem partido  assunto:      
682,"solicitando a troca de lâmpadas queimadas nos postes de nº a3 633 / a3634, localizados na rua construtor severino bezerra, bairro salinas, zona norte de natal. ",01140/2019,requer,ver. luiz almir   sem partido  assunto:      
683,"solicitando a pavimentação da rua marcos domingos leite, bairro salinas, zona norte de natal. ",01143/2019,requer,ver. luiz almir   sem partido  assunto:      
684,"solicitando - instalação de uma placa de proibido parar e estacionar para substituir a anterior que já não se encontra na rua general francisco montenegro, nº 371- lagoa nova. ",01057/2019,requer,ver. maurício gurgel  psol assunto:      
685,"solicitando operação - caçamba para a retirada de lixo acumulado na travessa dr. monteiro de medeiros, com as ruas da jurema e rua mamoeiro , no conj. mar del plata, bairro do potengi.. ",01059/2019,requer,ver. maurício gurgel  psol assunto:      
686,"solicitando construção de uma lombada (quebra mola) e instalação de placas de sinalização ( proibido estacionar) na av. solange nunes do nascimento com a trav. solange nunes do nascimento, no bairro de cidade nova - natal/rn. ",01060/2019,requer,ver. maurício gurgel  psol assunto:      
687," - requer que seja enviado ofício à semov, solicitando operação tapa buraco na rua da tamarineira - felipe camarão, natal - rn, 59074-080 (em frente a escola maria queiroz). ",01204/2019,psdb,ver.  ney lopes júnior 
688," - requer que seja enviado ofício à sttu, solicitando instalação de sinal na av. dr. joão medeiros filho com a av. guadaluape (em frente a caixa econômica federal). ",01205/2019,psdb,ver.  ney lopes júnior 
689," - requer que seja enviado ofício à semov, solicitando pavimentação da travessa couto magalhães, bairro nossa senhora da apresentação. ",01206/2019,psdb,ver.  ney lopes júnior 
690," - requer que seja enviado ofício à semsur, solicitando que seja feita a poda das árvores da área verde localizada entre as ruas maracanã, cisnes e pintassilgos, conjunto cidade satélite, bairro pitimbu. ",01132/2019,psdb,ver.  paulinho freire 
691," - requer que seja enviado ofício à urbana, solicitando para que sejam realizados os serviços de limpeza, capinação, pintura do meio-fio e retirada de entulhos da rua patativas, no trecho entre algarobas e pintassilgos. ",01134/2019,psdb,ver.  paulinho freire 
692," - requer que seja enviado ofício à semsur, solicitando que seja feita a poda das árvores da área verde localizada entre avenida ayrton senna e as ruas fernando de noronha, pernambuco e alameda dos bouganvilles, conjunto neópolis, bairro neópolis. ",01136/2019,psdb,ver.  paulinho freire 
693,"- requer que seja enviado o ofício à sel, solicitando as reformas gerais das quadras de esportes localizadas nos conjuntos: cidade satélite e bancários - bairro pitimbu, de acordo com a emenda impositiva totalizando no valor de r$ 516.000,00 (quinhentos e dezesseis mil reais) destinada a essa secretaria (sel). ",01153/2019,patriota,ver.  preto aquino 
694,"- requer que seja enviado o ofício à semov, solicitando a realização da drenagem no cruzamento da avenida juliano moreira com a rua toritama, no conjunto pajuçara ii bairro pajuçara, sob o cep: 59131-430. ",01154/2019,patriota,ver.  preto aquino 
695,"- requer que seja enviado o ofício à sms (secretaria municipal de saúde), solicitando a criação da central de exames laboratoriais na zona norte. ",01155/2019,patriota,ver.  preto aquino 
696,"solicitando a limpeza da calçada de terreno à rua américo soares wanderley, capim macio. ",01224/2019,requer,ver.  robson carvalho  pmb assunto:     
697,"entrega de título de cidadão natalense aos senhores francesco farruggia e dino lincoln figueirôa, no dia 03 de junho de 2019, às 9h, em local externo às dependências da câmara municipal. ",01189/2019,requer,ver.  sueldo medeiros  phs assunto:     
698,"entrega de título de cidadão natalense ao senhor andré laurindo maitelli, no dia 22 de agosto de 2019, às 19h. ",01194/2019,requer,ver.  sueldo medeiros  phs assunto:     
699,"- requer que seja enviado ofício à semsur, solicitando que seja realizada a manutenção dos equipamentos da academia da terceira idade, situada na praça marechal deodoro, avenida das alagoas - conjunto jiqui. ",01233/2019,psdc,ver.a ana paula 
700,"- requer que sejam tomadas providências na contenção de um buraco no entorno da lagoa, situada na rua ouro preto, conjunto pirangi iii bairro neópolis. ",01320/2019,psdc,ver.a ana paula 
701,"- requer que seja providenciada a instalação de uma grelha de proteção na boca de lobo, situada na rua ouro preto, conjunto pirangi, iii etapa  neópolis. ",01321/2019,psdc,ver.a ana paula 
702,"- requer que seja enviado ofício à urbana, solicitando, limpeza de canteiro, localizado na rua são cristóvão, no bairro quintas, cep: 59056-290, natal-rn. ",01074/2019,pros,ver.ª carla dickson 
703,"                                                                                                                                                                                                                                                 assunto:     - requer que seja enviado ofício à semsur, solicitando podação de árvores, localizado na praça araruama, bairro potengi, cep: 59129-450  natal rn. ",01081/2019,pros,ver.ª carla dickson 
704,"                                                                                                                                                                                                                                                 assunto:     - requer que seja enviado ofício à semov, solicitando reparação de calçamento, localizado na rua rio potengi, bairro quintas, cep 59040-580  natal rn. ",01082/2019,pros,ver.ª carla dickson 
705,- voto de profundo pesar pelo falecimento capital. ,01330/2019,pdt,ver. chagas catarino 
706,"- requer na forma regimental deste poder legislativo, seja encaminhada expediente a excelentíssima prefeito da cidade de natal sr. álvaro dias e ao secretário da semov  tomaz pereira de araújo neto, solicitando operação tapa buraco rua: belo horizonte, rocas natal, rn, em frente ao instituto religioso barbara maix, haja vista que esses buraco vem causando sérios transtornos e risco aos motoristas e pedestres que trafegam por aquela rua. ",01332/2019,pdt,ver. chagas catarino 
707,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua epitácio lira, bairro da ribeira. ",01240/2019,psdb,ver. dickson nasser júnior 
708,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua voluntários da pátria, bairro da cidade alta. ",01241/2019,psdb,ver. dickson nasser júnior 
709,"que seja enviado ofício à semov, solicitando o capeamento asfáltico da rua do saneamento, bairro da ribeira. ",01242/2019,psdb,ver. dickson nasser júnior 
710,"nos termos regimentais da câmara municipal do natal, que seja realizada sessão solene em comemoração ao às 18h30m, no plenário desta casa legislativa. ",01271/2019,pmb,ver. dinarte torres 
711,"a secretaria municipal de serviços urbanos de natal (semsur) iluminação na cor roxo em aparelhos públicos tais como pórtico de natal, ponte newton navarro e câmara municipal do natal, durante o período de uma semana, passando pela data 10 de maio do presente ano, em alusão aos eventos do dia internacional e da semana municipal de atenção à pessoa com lúpus. ",01251/2019,pt,vera. divaneide lula basílio 
712,"que seja enviado ofício à semov, solicitando operação tapa buraco em toda a extensão da rua professora gipse montenegro, no bairro de capim macio. ",01250/2019,psl,vera. eleika bezerra 
713,"à secretaria municipal de educação - sme a manutenção dos ventiladores da escola municipal professor reginaldo ferreira neto, localizada na rua da esperança, no conjunto parque dos coqueiros, bairro de nossa senhora da apresentação. ",01253/2019,psl,vera. eleika bezerra 
714,"que seja enviado ofício à semov, solicitando operação tapa buraco no cruzamento da avenida regulo tinoco com a rua ernani silveira, em barro vermelho. ",01255/2019,psl,vera. eleika bezerra 
715,"solicitando que seja enviado o carro fumacê para a comunidade de novo horizonte, bairro bom pastor e quintas, natal/rn, no intuito de prevenir o surto de doenças como dengue, chikungunya e zikavírus que se proliferam em nossa cidade. ",01299/2019,requer,ver. felipe alves  mdb assunto:      
716,"solicitando a recuperação da quadra de esportes da primeira etapa do conjunto pirangí, localizada ao lado da praça tarcísio maia, situada na avenida das alagoas, conjunto pirangí, 1ª etapa, bairro neópolis, natal/r ",01300/2019,requer,ver. felipe alves  mdb assunto:      
717,"solicitando serviço de recuperação da rua simon bolivar, no trecho que compreende o jardim botanico e o condomínio parque das orquídeas, conjunto jiqui, bairro neópolis, natal/rn. ",01301/2019,requer,ver. felipe alves  mdb assunto:      
718," - requer que seja enviado ofício à sttu, solicitando a instalação de um semáforo na av. das fronteiras com a av. boa sorte, no bairro nossa senhora da apresentação, zona norte de natal/rn. ",01178/2019,pt,ver. fernando lucena 
719," - requer que seja enviado ofício à semov, solicitando em regime de urgência, carradas de barro para aterrar vários buracos rosado, bairro igapó, zona norte de natal/rn. ",01180/2019,pt,ver. fernando lucena 
720," - requer que seja enviado ofício à semsur, solicitando a troca de lâmpada queimada do poste 2d-099 da rua santo agostinho, bairro igapó  zona norte de natal/rn. ",01181/2019,pt,ver. fernando lucena 
721,"a sra. elita e família, pelo falecimento do sr. ricardo fernandes de souza. ",01296/2019,requer,ver. franklin capistrano- psb assunto:      
722,"homenagem as mães dos braços vazios, no dia 16 de maio de 2019, no plenário érico hackradt. ",01222/2019,requer,ver. fúlvio saulo  sd assunto:      
723,"solicitando informações se há algum projeto de urbanização do antigo horto da cidade da esperança, localizado na av. piauí com rua garanhuns , bairro cidade da esperança, natal/rn. ",01223/2019,requer,ver. fúlvio saulo  sd assunto:      
724,"solicitando que seja feito o calçamento em paralelepípedos da rua getúlio lopes de araújo, trecho compreendido entre as ruas joaquim eduardo de farias e orlando lima, no bairro de ponta negra natal/rn. ",01323/2019,requer,ver. fúlvio saulo  sd assunto:      
725,"- requer que seja enviado ofício à semov, solicitando a limpeza e manutenção da boca de lobo, entre as ruas ulisses guimarães e r. josé aguinaldo (em frente ao nana banana). bairro: redinha. cep.: 59122-070. ",01216/2019,sd,ver. klaus araújo 
726,"- requer que seja enviado ofício à sel, solicitando que seja realizada a reforma da quadra de esportes localizada na avenida dr. joão medeiros filho (em frente ao mercadinho são miguel e igreja assembleia de deus. bairro: redinha. ",01220/2019,sd,ver. klaus araújo 
727,"- requer nos termos regimentais da câmara municipal de natal, que seja marcado audiência publica, com o seguinte tema: mplantação de unidade de pronto atendimento-dia 15 de maio do corrente ano. ",01249/2019,sd,ver. klaus araújo 
728,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na avenida dos caboclinhos, no bairro de nova natal. ",01129/2019,requer,ver. kleber fernandes- pdt assunto:      
729,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de pavimentação asfáltica na rua da araruna, entre a rua dos coroas e a rua imbaubas, no bairro de nova natal. ",01131/2019,requer,ver. kleber fernandes- pdt assunto:      
730,"de natal, que seja enviado ofício à secretaria de saúde de natal (sms), solicitando o serviço de castração de animais da espécie felina, nas imediações da av. brigadeiro gomes ribeiro, no bairro nova descoberta. ",01133/2019,requer,ver. kleber fernandes- pdt assunto:      
731,"solicitando a pavimentação da rua vista bela, bairro salinas, zona norte de natal. ",01161/2019,requer,ver. luiz almir   sem partido  assunto:      
732,"solicitando a pavimentação da rua das prímolas, bairro salinas, zona norte de natal. ",01162/2019,requer,ver. luiz almir   sem partido  assunto:      
733,"solicitando a pavimentação da rua vista pro mar, bairro salinas, zona norte de natal. ",01163/2019,requer,ver. luiz almir   sem partido  assunto:      
734,operação tapa buraco r da laranjeira e r do largo do eucalipto ,01139/2019,requer,ver. maurício gurgel  psol assunto:      
735,geral da r silvio caldas - cidade da esperança  natal/rn ,01198/2019,requer,ver. maurício gurgel  psol assunto:      
736,documentos renavan dos ônibus que operam em natal/rn ,01214/2019,requer,ver. maurício gurgel  psol assunto:      
737,  - requer que seja enviado moção de congratulação ao médico maeterlinck rêgo mendes em virtude do lançamento da sua biografia  ,01199/2019,psdb,ver.  ney lopes júnior 
738,"  - requer que seja enviado ofício à semsur, solicitando manutenção da praça de eventos iapissara aguiar, bairro potengi. ",01252/2019,psdb,ver.  ney lopes júnior 
739,"  - requer que seja enviado ofício à semsur, solicitando iluminação do poste f6-317, localizado na rua mar e céu (em frente a casa 511), felipe camarão. ",01254/2019,psdb,ver.  ney lopes júnior 
740,"  - requer que seja enviado ofício à urbana, solicitando a limpeza dos canteiros da praça na avenida senhor do bonfim. próximo/ou em frente a, supermercado bom dia  bairro potengi, natal/rn. ",01256/2019,pdt,ver.a  nina souza 
741,"  - requer que seja enviado ofício à urbana, solicitando a limpeza dos canteiros da praça na avenida senhor do bonfim. próximo/ou em frente a, rua. bom retiro  bairro potengi, natal/rn. ",01257/2019,pdt,ver.a  nina souza 
742,"  - requer que seja enviado ofício à sel, solicitando a reforma da quadra de esportes, localizado na praça do coqueiral, avenida blumenau, conjunto santa catarina,.  bairro, potengi, natal/rn ",01258/2019,pdt,ver.a  nina souza 
743,"  - requer que seja enviado ofício à semsur, solicitando que seja feita a poda das árvores da área verde localizada entre avenida dos caiapós e as ruas águias, uirapurú, conjunto cidade satélite, bairro pitimbu. ",01137/2019,psdb,ver.  paulinho freire 
744,"  - requer que seja enviado ofício à sel, solicitando que seja feita a manutenção das traves, piso, demarcação de quadra poliesportiva, das tabelas de basquete, da mureta de proteção da quadra de esportes. a mesma está localizada na área verde entre as ruas maracanã, cisnes e pintassilgos, conjunto cidade satélite, bairro pitimbu. ",01141/2019,psdb,ver.  paulinho freire 
745,"  - requer que seja enviado ofício à semsur, solicitando que seja feita a limpeza, poda das árvores e reparos dos equipamentos da praça dos pássaros, localizada na área verde entre avenida dos caiapós e as ruas águias, uirapurú, conjunto cidade satélite, bairro pitimbu. ",01210/2019,psdb,ver.  paulinho freire 
746,"  - requer que seja enviado ofício à semov, solicitando o recapeamento asfáltico na rua padre cícero  bairro cidade nova, sob o cep 59072-785. ",01058/2019,patriota,ver.  preto aquino 
747," - requer que seja enviado o ofício à semsur, solicitando a poda de árvores na rua são joão  bairro lagoa seca, sob o cep 59022-545. ",01061/2019,patriota,ver.  preto aquino 
748," - requer que seja enviado o ofício à sms (secretaria municipal de saúde), solicitando o aumento do número de profissionais de médicos e técnicos de enfermagem nas ubs  bairro pajuçara. ",01062/2019,patriota,ver.  preto aquino 
749,"solicitando obras dentro da ceasa (centrais de abastecimento do rn), localizada na avn. capitão mor gouveia, 3005 - bairro: lagoa nova, zona sul da capital. ",01262/2019,requer,ver.  raniere barbosa  avante   assunto:       
750,"do natal, que seja enviado a comissão de saúde desta casa legislativa, solicitando que seja realizada uma visita na maternidade e unidade mista de felipe camarão, na zona oeste da capital. ",01263/2019,requer,ver.  raniere barbosa  avante assunto:       
751,"do natal, que seja realizada sessão solene em homenagem aos 104 anos do américa futebol clube, no dia 11 de julho, do corrente, às 18h30min, na sede social do américa futebol clube, localizada na avenida rodrigues alves, 950, tirol. ",01264/2019,requer,ver.  raniere barbosa  avante   assunto:       
752,"solicitando a limpeza da rua santa vitória do palmar, no bairro de neópolis ",01319/2019,requer,ver.  robson carvalho  pmb   assunto:       
753,"alusão aos 60 anos da apae, dia 24/10/2019, às 18h30min. plenário erico hackradt ",01328/2019,requer,ver.  robson carvalho  pmb   assunto:       
754,"hackradt no dia 28 de junho de 2019, às 09h para realização de reunião da frente parlamentar da juventude ",01329/2019,requer,ver.  robson carvalho  pmb   assunto:       
755,"solicitando serviços de revitalização da praça almirante gonçalves, no bairro do alecrim. ",01245/2019,requer,ver.  sueldo medeiros  phs   assunto:       
756,"solicitando a pavimentação asfáltica da rua cônego monte, no trecho compreendido entre a rua doutor mário negócio e a rua dos paiatis (avenida 11), no bairro do alecrim. ",01246/2019,requer,ver.  sueldo medeiros  phs   assunto:       
757,"solicitando serviços de revitalização da praça marechal rondon, próxima ao hospital giselda trigueiro, no bairro das quintas. ",01247/2019,requer,ver.  sueldo medeiros  phs   assunto:       
758,"ofício à semov, solicitando a realização de um trabalho de terraplanagem na rua pantanal (próximo a escola municipal antônio severiano), conjunto pirangi iii etapa  neópolis. ",01322/2019,psdc,ver.a ana paula 
759,"de natal, que seja enviado ofício a secretária danielle araújo mafra, titular da secretaria municipal de esporte e lazer  sel, que envie a semurb a solicitação de caracterização do campo de futebol de areia, localizado atrás da igreja do santuário dos mártires de cunhaú e uruaçu no bairro de nazaré. ",01354/2019,requer,ver. aroldo alves  psdb  assunto: 
760,"ofício à semov, solicitando calçamento, localizado na rua poeta luiz alves correia, (lot santa inês), bairro pajuçara, cep: 59122244  natal rn. ",1185/2019,pros,ver.ª carla dickson 
761,"ofício à semov, solicitando calçamento, localizado na rua são judas tadeu, bairro planalto, cep 59073-094  natal rn. ",01186/2019,pros,ver.ª carla dickson 
762,"ofício à semov, solicitando calçamento, localizado na rua santa quitéria, bairro planalto, cep 59073-140 natal rn. ",01187/2019,pros,ver.ª carla dickson 
763,"deste poder legislativo, seja encaminhado expediente ao excelentíssimo prefeito da cidade de natal sr. álvaro dias e ao secretário municipal de serviços urbanos  semsur, sr. jonny costa, solicitando aos mesmos a substituição de lâmpada do poste n° d2 056, localizado na rua: belo horizonte 295, rocas, natal/rn, vizinho ao restaurante congelatos, trazendo uma maior comodidade e segurança aos moradores que frequentam o local. ",01355/2019,pdt,ver. chagas catarino 
764,"ofício à sttu, estudo para que seja colocada uma placa para parada de ônibus na av. gov. antônio de melo e souza, defronte à rua clenio fernandes sá, nova república, bairro de pajuçara. ",01225/2019,psdb,ver. dickson nasser júnior 
765,"ofício à semov, solicitando o capeamento asfáltico da rua pitimbu, bairro da cidade alta. ",01226/2019,psdb,ver. dickson nasser júnior 
766,"ofício à semov, solicitando o capeamento asfáltico da rua antônio pegado, bairro da cidade alta. ",01227/2019,psdb,ver. dickson nasser júnior 
767,"ofício à semsur, solicitando o serviço de poda de árvores localizadas na rua joão xxiii, entre o trecho que compreende o hot dog do marujo e o cmei nossa senhora de lourdes, bairro mãe luíza, natal, capital do estado do rio grande do norte. ",01333/2019,pmb,ver. dinarte torres 
768,"ofício à semov, -buracos no cruzamento das ruas teófilo brandão, travessa areia presupermercados, bairro petrópolis, natal, capital do estado do rio grande do norte. ",01334/2019,pmb,ver. dinarte torres 
769,"ofício à semov, -buracos na rua joão xxiii, bairro mãe luiza, natal, capital do estado do rio grande do norte. ",01335/2019,pmb,ver. dinarte torres 
770,"urgência, máquinas de terraplanagem para av. professor paulo freire no loteamento jardim brasil, bairro pajuçara, zona norte de natal. ",01341/2019,pt,vera. divaneide lula basílio 
771,"urgência, máquinas de terraplanagem para as seguintes ruas: das prímulas, rio da prata, bela vista e travessa rio salgado, loteamento salinas, bairro redinha zona norte de natal. ",01345/2019,pt,vera. divaneide lula basílio 
772,"ofício à semov, solicitando a realização de serviço de drenagem e pavimentação na rua tapirama, localizada no conjunto parque dos coqueiros, no bairro de nossa senhora da apresentação. ",01265/2019,psl,vera. eleika bezerra 
773,"ofício à semsur, solicitando providências para a poda de árvores localizadas na extensão da rua são josé, bairro de lagoa nova. ",01266/2019,psl,vera. eleika bezerra 
774,"ofício à semov, solicitando operação tapa buraco no cruzamento da rua estácio de sá com a rua são vicente, no bairro de lagoa nova. ",01267/2019,psl,vera. eleika bezerra 
775,"solicitando a limpeza e coleta do lixo, no entorno da rua e na quadra de esportes situada na rua são francisco de assis silveira, no bairro planalto, conjunto bela vista, para contribuir com o bem-estar dos usuários da quadra e moradores, e diminuir a presença de insetos na região. ",01342/2019,requer,ver. eriko jácome  pode  assunto: 
776,"solicitando a limpeza e coleta do lixo, nas ruas: josé arnaldo; elias de souza; clodoaldo caldas entre rua maranata e são bráulio, no bairro planalto, para contribuir com o bem-estar dos moradores, e diminuir a presença de insetos na região. ",01343/2019,requer,ver. eriko jácome  pode  assunto: 
777,"solicitando a recuperação da pavimentação e troca das grades de drenagens de concreto, da rua padre raimundo brasil, bairro nova descoberta, zona sul de natal/rn. ",01281/2019,requer,ver. fernando lula lucena  pt assunto: 
778,"solicitando a recuperação da pavimentação e troca das grades de drenagens de concreto, da rua claudionor de andrade, bairro nova descoberta, zona sul de natal/rn. ",01282/2019,requer,ver. fernando lula lucena  pt  assunto: 
779,"pelo falecimento do sr. joão maria pinheiro, conhecido como joão alegria e zé da sorte. ",01283/2019,requer,ver. fernando lula lucena  pt assunto: 
780,"homenagem aos 50 anos do 2º esquadrão de transporte aéreo, a ser realizada no dia 24 de maio do corrente ano, as 15:00 horas, na base aérea de natal. ",01344/2019,requer,ver. franklin capistrano-psb assunto: 
781,"solicitando a limpeza da área ao redor da quadra de esportes, localizada entre as ruas: desportista jeremias pineiro da câmara filho, arenopólis e escritor eulicio farias de lacerda, no bairro de ponta negra, natal/rn.  ",01324/2019,requer,ver. fúlvio saulo  sd assunto: 
782,"solicitando a limpeza do antigo horto da cidade da esperança, localizado na av. piauí com rua garanhuns, bairro cidade da esperança, natal/rn.  ",01325/2019,requer,ver. fúlvio saulo  sd assunto: 
783,"solicitando a poda das árvores do antigo horto da cidade da esperança, localizado na av. piauí com rua garanhuns, bairro cidade da esperança, natal/rn. ",01326/2019,requer,ver. fúlvio saulo  sd assunto: 
784,"de natal, que seja enviado ofício à secretaria municipal de obras públicas e infra-estrutura (semov), solicitando o serviço de assentamento de paralelepípedos na rua aposto tomé, no bairro de lagoa azul. ",01237/2019,requer,ver. kleber fernandes- pdt assunto: 
785,"de natal, que seja enviado ofício à companhia de serviços urbanos de natal (urbana), solicitando o serviço de coleta de copos e dejetos em todo o percurso anexo. ",01238/2019,requer,ver. kleber fernandes- pdt assunto: 
786,"de natal, que seja enviado ofício à secretaria de saúde de natal (sms), solicitando o serviço de fiscalização do condomínio residencial alice grilo com suposto foco de dengue, na rua nascimento de castro, no bairro dix-sept rosado. ",01291/2019,requer,ver. kleber fernandes- pdt assunto: 
787,"solicitando a realização de serviços de limpeza, capinação e roçagem do mato na rua laureano gomes, conj. panatis (por trás da e. e. prof. josino macêdo), bairro potengi, zona norte de natal.  ",01183/2019,requer,ver. luiz almir  sem partido assunto: 
788,"solicitando a instalação de abrigos de passageiros em toda a extensão da rua das prímolas, comunidade salinas, zona norte de natal.  ",01315/2019,requer,ver. luiz almir  sem partido assunto:  
789,"solicitando a execução de tapa-buraco na rua dos lírios, loteamento josé sarney, bairro lagoa azul.  ",01316/2019,requer,ver. luiz almir  sem partido assunto:  
790,"- secretaria municipal de habitação, regularização fundiária e projetos estruturantes, solicitando o andamento do processo da regularização fundiária do conjunto alto da torre, redinha/natal.  ",01197/2019,requer,ver. maurício gurgel  psol assunto: 
791,"buraco na r da divisão - cidade nova, zona oeste de natal/rn. ",01215/2019,requer,ver. maurício gurgel  psol assunto: 
792,solicitando a reserva do plenário e pátio da referida casa legislativa para realização de  ,01248/2019,requer,ver. maurício gurgel  psol assunto: 
793,"enviado ofício à semov, solicitando operação tapa buraco na rua pacajus, próximo/ou em frente à avenida acaraú, conjunto panatis i  bairro potengi, natal/rn. ",01259/2019,pdt,ver.a nina souza 
794,"ofício à semov, solicitando operação tapa buraco na rua são domingos do amarante, em toda sua extensão,  bairro, igapó, natal/rn. ",01260/2019,pdt,ver.a nina souza 
795,"solicitando a troca de lâmpada do poste nº d4 484, localizado na rua. jaciara, conjunto santarém  bairro, potengi, natal/rn. ",01261/2019,requer,ver.a   nina souza -pdt assunto: 
796,"sessão solene para entrega da comenda dr. clemente galvão neto, pelo dia do dentista. ",01211/2019,psdb,ver. paulinho freire 
797,realização de sessão solene aos 10 anos da asan - associação dos auditores do tesouro municipal de natal. ,01212/2019,psdb,ver. paulinho freire 
798,"ofício à semsur, solicitando que seja feita a limpeza, poda das árvores, manutenção na iluminação especial e reparos dos equipamentos da praça abel de menezes lira, localizada na rua dr. everton dantas cortês, bairro tirol. ",1331/2019,psdb,ver. paulinho freire 
799,"o ofício à semov, solicitando a operação tapa buraco na avenida capitão mor gouveia, bairro - bom pastor, em frente a ubs (km 6) sob o cep 59072-100.  ",01063/2019,patriota,ver. preto aquino 
800,"o ofício à sms (secretaria municipal de saúde), solicitando a implementação da central de esterilização na ubs pajuçara localizada na rua maracaí, conjunto pajuçara ii  bairro pajuçara.  ",01064/2019,patriota,ver. preto aquino 
801,"o ofício à urbana, solicitando a colocação da placa de advertência (proibido colocar lixo), na avenida norte  bairro cidade nova, sob o cep 59072-530 (ao lado da escola luiz maranhão). ",01065/2019,patriota,ver. preto aquino 
802,"solicitando a limpeza e a manutenção da quadra de futsal, na rua: lagoa seca com a rua: lagoa nova  bairro: guarapes, zona oeste da capital. ",01346/2019,requer,ver. raniere barbosa  avante assunto: 
803,"solicitando o recapeamento asfáltico no prolongamento, da rua: pereira pinto, na comunidade da guarita - bairro: alecrim, zona leste da capital.  ",01347/2019,requer,ver. raniere barbosa  avante assunto: 
804,"solicitando a instalação de uma academia da terceira idade  pinto (em frente a casa nº 106), comunidade da guarita - bairro: alecrim, zona leste desta capital. .movimento: - em discussão única.  requerimento nº. 01317/2019 - ver. robson carvalho  pmb assunto: - requer que seja enviado ofício à urbana, solicitando a limpeza da praça são camilo de lélis - lagoa nova.  ",01348/2019,requer,ver. raniere barbosa  avante assunto: 
805,"solicitando que sejam implementados, em sua totalidade, os serviços do posto de saúde da comunidade da áfrica, av. dr. joão medeiros filho, na redinha. ",01318/2019,requer,ver. robson carvalho  pmb assunto: 
806,"solicitando o serviço de poda das árvores da rua major laurentino de morais, barro vermelho. ",01352/2019,requer,ver. sueldo medeiros  phs assunto: 
807,solicitando estudo de viabilidade técnica acerca das medidas que propõe. ,01353/2019,requer,ver. sueldo medeiros  phs assunto: 
808,"à semov, solicitando a realização de um trabalho de terraplanagem na rua pantanal (próximo a escola municipal antônio severiano), conjunto pirangi iii etapa  neópolis. ",01322/2019,psdc,ver.a ana paula 
809,"à semsur, solicitando a limpeza no afluente do canal do baldo, situado na rua beatriz pinheiro em frente ao número 1319 - barro vermelho. ",01429/2019,psdc,ver.a ana paula 
810,"a urbana, solicitando a instalação de uma placa de proibido colocar lixo no canteiro central da rua itamar maciel - felipe camarão. ",01430/2019,psdc,ver.a ana paula 
